time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
57195,ACTIVE,CENTER,,,,,4.964,,ON,0x00
57424,ACTIVE,CENTER,,,,,4.964,,ON,0x00
57653,ACTIVE,CENTER,,,,,4.960,,ON,0x00
57882,ACTIVE,CENTER,,,,,4.964,,ON,0x00
58111,ACTIVE,CENTER,,,,,4.964,,ON,0x00
58340,ACTIVE,CENTER,,,,,4.964,,ON,0x00
58569,ACTIVE,CENTER,,,,,4.964,,ON,0x00
58799,ACTIVE,CENTER,,,,,4.964,,ON,0x00
59028,ACTIVE,CENTER,,,,,4.964,,ON,0x00
59241,ACTIVE,CENTER,,,,,4.964,,ON,0x00
59470,ACTIVE,CENTER,,,,,4.964,,ON,0x00
59699,ACTIVE,CENTER,,,,,4.968,,ON,0x00
59928,ACTIVE,CENTER,,,,,4.964,,ON,0x00
60157,ACTIVE,CENTER,,,,,4.964,,ON,0x00
60386,ACTIVE,CENTER,,,,,4.964,,ON,0x00
60616,ACTIVE,CENTER,,,,,4.964,,ON,0x00
60845,ACTIVE,CENTER,,,,,4.964,,ON,0x00
61074,ACTIVE,CENTER,,,,,4.964,,ON,0x00
61303,ACTIVE,CENTER,,,,,4.964,,ON,0x00
61532,ACTIVE,CENTER,,,,,4.964,,ON,0x00
61761,ACTIVE,CENTER,,,,,4.964,,ON,0x00
61990,ACTIVE,CENTER,,,,,4.964,,ON,0x00
62206,ACTIVE,CENTER,,,,,4.960,,ON,0x00
62435,ACTIVE,CENTER,,,,,4.964,,ON,0x00
62664,ACTIVE,CENTER,,,,,4.964,,ON,0x00
62893,ACTIVE,CENTER,,,,,4.964,,ON,0x00
63122,ACTIVE,CENTER,,,,,4.964,,ON,0x00
63351,ACTIVE,CENTER,,,,,4.968,,ON,0x00
63580,ACTIVE,CENTER,,,,,4.960,,ON,0x00
63810,ACTIVE,CENTER,,,,,4.964,,ON,0x00
